Outcomes	coefficient	pval	pre_cont_mean	pre_cont_sd	pre_cont_n	post_cont_mean	post_cont_sd	post_cont_n	pre_int_mean	pre_int_sd	pre_int_n	post_int_mean	post_int_sd	post_int_n
Niacin vitamin B3 mg	-1.06935700466189	0.872175265914569	32.2449076923077	11.3687142241667	13	34.7906363636364	10.3495686313269	11	33.1164083333333	11.9218331039395	24	34.59278	16.0856577181957	20
Pantothenic Acid mg	-0.0920119230768886	0.945067871039104	7.42332307692308	1.96352675652504	13	7.511	2.34100888507498	11	7.411425	2.4199183394864	24	7.40709	3.24947418740811	20
Vitamin B-6 pyridoxine, pyridoxyl, & pyridoxamine mg	-0.109834696969689	0.823049115930012	2.3883	0.731078338255667	13	2.44763636363636	0.853780682930608	11	2.47578333333333	0.945971648930194	24	2.425285	1.14073391439343	20
Total Folate mcg	-36.0781245337979	0.569859810385844	331.843230769231	101.799287254507	13	362.177863636364	130.630316281117	11	367.079916666667	127.574763284606	24	361.336425	128.668283100308	20
Vitamin B-12 cobalamin mcg	-2.73424330419591	0.68907216404057	7.61772692307694	10.3685406162628	13	14.4091227272728	17.3143085320837	11	7.34753750000002	10.6539916811601	24	11.40469	15.4147535092846	20
Calcium mg	-96.6397921445229	0.453202200159966	443.318138461538	258.51981026622	13	498.809727272727	230.851901073433	11	483.368483333333	265.9007918412	24	442.22028	238.74324443267	20
Phosphorus mg	40.7664604836857	0.905500542640203	1919.05737692308	530.818003088014	13	1800.83372727273	559.25430734865	11	1914.41982916667	658.413506909335	24	1836.96264	806.994571217207	20
Magnesium mg	-30.5024007867126	0.661992664742544	336.272673076923	111.25904878431	13	347.769636363636	108.057462970655	11	369.8673125	141.228103389945	24	350.861875	156.522884374074	20
Iron mg	-29.4039003292507	0.771843851531798	98.8371307692309	206.55991253807	13	69.6046681818182	164.297635426445	11	129.902447916667	227.648631963995	24	71.2660850000001	168.712104360045	20
Zinc mg	-29.6660133012782	0.801278749915036	108.127884615385	239.64976267965	13	69.0422500000001	192.080335645629	11	143.441072916667	264.476117136902	24	74.6894250000001	196.14612160279	20
Copper mg	-30.0727362645648	0.804127810850709	102.188261538462	246.36514456833	13	61.3090636363637	197.668459246043	11	138.022354166667	272.113228073267	24	67.0704200000001	201.854645712004	20
Selenium mcg	-10.0910757109552	0.739377662316978	156.558273076923	59.6927703306921	13	172.000595454545	67.2241519313575	11	155.444458333333	44.4429641880948	24	160.795705	69.4259964625964	20
Sodium mg	924.580749592057	0.291033706903071	2911.41492307692	1476.26435559334	13	2640.81718181818	1330.41517625107	11	2739.89929166667	1487.8449146929	24	3393.8823	2191.31643482009	20
Potassium mg	-472.601670527385	0.438883649722155	2649.64415769231	999.3657839353	13	2667.43791363636	1144.59734932068	11	2902.26246458333	1423.96898208025	24	2447.45455	1001.68888035308	20
SFA 4:0 butyric acid g	-0.0047121794871802	0.963841224323239	0.113846153846154	0.215016993961659	13	0.135	0.22865738562312	11	0.0829583333333336	0.186432521693313	24	0.0994000000000003	0.200899136777376	20
SFA 6:0 caproic acid g	-0.0366143414918428	0.777457396961471	0.152438461538462	0.284767672961842	13	0.119163636363637	0.263400175674685	11	0.136729166666667	0.26997304934602	24	0.0668400000000001	0.200126868708196	20
SFA 8:0 caprylic acid g	-0.507907470862484	0.621527110474206	1.16087692307693	2.20334626048421	13	0.91687272727273	2.03151494461199	11	1.25774166666667	2.2222819885085	24	0.505830000000001	1.54580318931786	20
SFA 10:0 capric acid g	0.16629204254078	0.848287135235971	0.94604230769231	1.78997795713222	13	0.746518181818184	1.65102341265543	11	0.855802083333336	1.6926515110708	24	0.822570000000002	1.67405236024508	20
SFA 12:0 lauric acid g	-1.8720133828672	0.765856294014444	7.29161923076925	13.8415815702262	13	5.75233636363638	12.7652730977463	11	6.58628125000002	13.0927453878824	24	3.17498500000001	9.71137969936764	20
SFA 14:0 myristic acid g	0.959686249999993	0.697029492010574	3.55995000000001	5.58997415002224	13	2.88590000000001	5.18271586231583	11	2.23518125	4.30137608779504	24	2.52081750000001	4.67893427835069	20
SFA 16:0 palmitic acid g	0.518549321095574	0.777209324549982	6.43645769230769	3.73942049297337	13	5.83154545454545	2.95223448810003	11	6.84416041666667	3.66002810864649	24	6.7577975	3.68686566056757	20
